,title,country,region,rank_display,score,url,faculty_tot,faculty_int,student_tot,student_int
136,Aalto University,Finland,Europe,137.0,56.0,https://www.topuniversities.com/universities/aalto-university#wurs,1257.0,370.0,12147.0,1831.0
139,McMaster University,Canada,North America,140.0,55.8,https://www.topuniversities.com/universities/mcmaster-university#wurs,3231.0,1170.0,23702.0,3548.0
140,RWTH Aachen University,Germany,Europe,141.0,55.6,https://www.topuniversities.com/universities/rwth-aachen-university#wurs,3176.0,449.0,44517.0,8556.0
141,University of Oslo,Norway,Europe,142.0,55.5,https://www.topuniversities.com/universities/university-oslo#wurs,2509.0,711.0,24304.0,3667.0
142,University of Pittsburgh,United States,North America,142.0,55.5,https://www.topuniversities.com/universities/university-pittsburgh#wurs,4982.0,572.0,26393.0,2937.0
143,Technische Universität Berlin (TU Berlin),Germany,Europe,144.0,55.2,https://www.topuniversities.com/universities/technische-universit%C3%A4t-berlin-tu-berlin#wurs,2562.0,377.0,22176.0,4494.0
144,The Hebrew University of Jerusalem,Israel,Asia,145.0,54.7,https://www.topuniversities.com/universities/hebrew-university-jerusalem#wurs,2249.0,454.0,16531.0,1034.0
145,University of Lausanne,Switzerland,Europe,146.0,54.5,https://www.topuniversities.com/universities/university-lausanne#wurs,2173.0,1031.0,13435.0,3337.0
146,Emory University,United States,North America,147.0,54.4,https://www.topuniversities.com/universities/emory-university#wurs,2560.0,484.0,12852.0,2154.0
147,Erasmus University Rotterdam,Netherlands,Europe,147.0,54.4,https://www.topuniversities.com/universities/erasmus-university-rotterdam#wurs,2011.0,458.0,23273.0,5229.0
148,University of Basel,Switzerland,Europe,149.0,54.3,https://www.topuniversities.com/universities/university-basel#wurs,1057.0,684.0,12852.0,3441.0
149,Michigan State University,United States,North America,149.0,54.3,https://www.topuniversities.com/universities/michigan-state-university#wurs,2884.0,653.0,44951.0,7427.0
150,University of Otago,New Zealand,Oceania,151.0,54.2,https://www.topuniversities.com/universities/university-otago#wurs,1266.0,759.0,18532.0,3871.0
151,University of Waterloo,Canada,North America,152.0,53.7,https://www.topuniversities.com/universities/university-waterloo#wurs,1689.0,473.0,35541.0,8962.0
152,Université catholique de Louvain (UCL),Belgium,Europe,153.0,53.6,https://www.topuniversities.com/universities/universit%C3%A9-catholique-de-louvain-ucl#wurs,1219.0,406.0,24277.0,4468.0
153,University of Vienna,Austria,Europe,154.0,53.3,https://www.topuniversities.com/universities/university-vienna#wurs,3411.0,1400.0,45967.0,14468.0
154,Hanyang University,South Korea,Asia,155.0,53.2,https://www.topuniversities.com/universities/hanyang-university#wurs,3085.0,364.0,23348.0,3397.0
155,Universitat de Barcelona,Spain,Europe,156.0,52.9,https://www.topuniversities.com/universities/universitat-de-barcelona#wurs,3863.0,108.0,46002.0,6134.0
156,École Normale Supérieure de Lyon,France,Europe,157.0,52.8,https://www.topuniversities.com/universities/%C3%A9cole-normale-sup%C3%A9rieure-de-lyon#wurs,382.0,91.0,2020.0,221.0
157,The University of Exeter,United Kingdom,Europe,158.0,52.7,https://www.topuniversities.com/universities/university-exeter#wurs,1756.0,597.0,20749.0,5504.0
158,University of Aberdeen,United Kingdom,Europe,158.0,52.7,https://www.topuniversities.com/universities/university-aberdeen#wurs,1310.0,508.0,12005.0,4246.0
159,University of Bath,United Kingdom,Europe,160.0,52.6,https://www.topuniversities.com/universities/university-bath#wurs,1165.0,440.0,14370.0,4213.0
160,Newcastle University,United Kingdom,Europe,161.0,52.4,https://www.topuniversities.com/universities/newcastle-university#wurs,2428.0,835.0,21673.0,5717.0
161,National Tsing Hua University,Taiwan,Asia,161.0,52.4,https://www.topuniversities.com/universities/national-tsing-hua-university#wurs,1020.0,119.0,13890.0,1187.0
162,University of Minnesota,United States,North America,163.0,52.2,https://www.topuniversities.com/universities/university-minnesota#wurs,4919.0,195.0,59742.0,6542.0
165,University of Bergen,Norway,Europe,164.0,52.1,https://www.topuniversities.com/universities/university-bergen#wurs,1513.0,484.0,10671.0,767.0
163,Eberhard Karls Universität Tübingen,Germany,Europe,164.0,52.1,https://www.topuniversities.com/universities/eberhard-karls-universit%C3%A4t-t%C3%BCbingen#wurs,3844.0,796.0,27366.0,3860.0
164,"University of California, Irvine",United States,North America,164.0,52.1,https://www.topuniversities.com/universities/university-california-irvine#wurs,1926.0,377.0,32151.0,8538.0
166,University of Bern,Switzerland,Europe,167.0,51.9,https://www.topuniversities.com/universities/university-bern#wurs,1172.0,661.0,10758.0,1618.0
